"Name;";"PosX;";"PosY;";"Time;"
6;0,04;-0,13;436,4541
6;0,05;-0,13;436,9656
6;0,05;-0,13;437,4685
6;0,05;-0,13;437,9824
6;0,05;-0,12;438,4839
6;0,05;-0,11;438,9854
6;0,05;-0,09999999;439,4859
6;0,05;-0,08;439,9869
6;0,05;-0,06;440,4869
6;0,06;-0,06;440,9887
6;0,06;-0,05;441,4898
6;0,06;-0,04;441,9909
6;0,05;-0,05;442,4914
6;0,06;-0,05;442,992
6;0,06;-0,05;443,4939
6;0,06;-0,05;443,9952
6;0,06;-0,05;444,4969
6;0,06;-0,05;444,9986
6;0,05;-0,04;445,499
6;0,06;-0,04;446,001
6;0,07;-0,06;446,5018
6;0,09;-0,05;447,003
6;0,09999999;-0,05;447,5043
6;0,12;-0,06;448,0063
6;0,14;-0,05;448,5071
6;0,15;-0,05;449,0082
6;0,17;-0,06;449,5092
6;0,17;-0,05;450,0239
6;0,17;-0,04;450,5247
6;0,15;-0,06;451,0264
6;0,15;-0,06;451,5399
6;0,16;-0,05;452,0414
6;0,16;-0,05;452,5444
6;0,16;-0,05;453,0447
6;0,15;-0,05;453,5456
6;0,15;-0,05;454,046
6;0,15;-0,05;454,5475
6;0,13;-0,05;455,0484
6;0,12;-0,04;455,5488
6;0,11;-0,05;456,0519
6;0,09;-0,04;456,5529
6;0,08;-0,04;457,0541
6;0,06;-0,05;457,5549
6;0,05;-0,05;458,0581
6;0,04;-0,06;458,5588
6;0,03;-0,06;459,0603
6;0,03;-0,06;459,5613
6;0,03;-0,06;460,062
6;0,03;-0,06;460,5628
6;0,03;-0,06;461,0652
6;0,03;-0,06;461,5659
6;0,03;-0,06;462,0668
6;0,03;-0,06;462,5672
6;0,03;-0,06;463,0797
6;0,03;-0,06;463,5804
6;0,03;-0,06;464,0819
6;0,03;-0,06;464,5825
6;0,03;-0,06;465,0844
6;0,03;-0,06;465,5901
6;0,03;-0,06;466,0999
6;0,03;-0,06;466,6013
6;0,03;-0,06;467,1029
6;0,03;-0,06;467,604
6;0,03;-0,06;468,106
6;0,03;-0,06;468,6062
6;0,03;-0,06;469,1062
6;0,03;-0,06;469,6071
6;0,03;-0,06;470,1084
6;0,03;-0,06;470,6094
